system:index,NBR,year,.geo
0,-759.6412556053812,1985,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,-798.4356197352587,1986,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,-730.3800929723817,1987,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,-729.805797917253,1988,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,,1989,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,-734.1303729006547,1990,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,-742.7526034337179,1991,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,-773.7204429811434,1992,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,-747.3743968208912,1993,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,-446.0547504025765,1994,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,-735.9426681367145,1995,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,-741.2798681680856,1996,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,-751.2953367875648,1997,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,-763.9939485627837,1998,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,-764.983761440803,1999,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,-711.0683878055479,2000,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,-734.9397590361447,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,-728.7189506000559,2002,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,-716.6567871962063,2003,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,-739.3379063525201,2004,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,-743.7482438887329,2005,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,-721.8022376776535,2006,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,-724.3678799666574,2007,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,-722.2376843863068,2008,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,-743.0596574128765,2009,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,-742.7385892116183,2010,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,-738.1370826010544,2011,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,-727.1669575334497,2012,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,-744.3568126189829,2013,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,-745.4449432268286,2014,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,-746.765758326452,2015,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,-752.6501766784453,2016,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,-728.890144027111,2017,"{""type"":""MultiPoint"",""coordinates"":[]}"
